Feature,Reference,HighFiO2,ReferenceRank,HighRank,SHAP_change
Glascow coma scale motor response_full_std,0.1497312920452593,0.1483055962823282,3.0,6.0,-0.0014256957629311118
Weight_full_mean,0.05274262304359838,0.051316799955056364,31.0,40.0,-0.0014258230885420137
Bilirubin_full_std,0.0062345243260487565,0.004657457418496029,89.0,101.0,-0.0015770669075527276
Lactate_full_max,0.017974874667194347,0.01637984641663676,62.0,75.0,-0.001595028250557587
Creatinine_full_std,0.015309968646371946,0.013607840737183081,68.0,84.0,-0.0017021279091888643
Prothrombin time_last10%_min,0.05887404370980971,0.05665792248327576,24.0,34.0,-0.0022161212265339528
Systolic blood pressure_last25%_min,0.037766962614847105,0.03532435867107211,39.0,54.0,-0.002442603943774997
Lactate_full_min,0.05432467465297024,0.051372881212143326,30.0,39.0,-0.002951793440826911
ICU_Neuro Stepdown,0.007462128481296036,0.0041957756469653005,86.0,104.0,-0.0032663528343307357
Glascow coma scale motor response_last25%_std,0.014395097596879508,0.01087801185797178,70.0,87.0,-0.003517085738907728
Potassium_last10%_min,0.07838262957928135,0.07451565235634429,18.0,27.0,-0.0038669772229370653
Diastolic blood pressure_last25%_min,0.05797780235995633,0.05401926307579594,26.0,37.0,-0.003958539284160394
Prothrombin time_full_min,0.03560254770738215,0.03133630464796857,43.0,60.0,-0.004266243059413581
Glascow coma scale eye opening_last25%_std,0.030308455333599854,0.025346945622100846,51.0,65.0,-0.004961509711499008
Potassium_full_min,0.0377475190765519,0.03261701667645895,40.0,57.0,-0.005130502400092947
Glascow coma scale motor response_full_min,0.06669651399871968,0.06123835673782129,22.0,32.0,-0.005458157260898384
Heart Rate_last10%_min,0.09144226378937646,0.0857505012123158,13.0,18.0,-0.005691762577060666
Prothrombin time_full_max,0.03576636759566836,0.029953061692979743,42.0,62.0,-0.0058133059026886195
White blood cell count_last10%_min,0.09829531492850518,0.09174711496862424,11.0,14.0,-0.006548199959880943
Temperature_last10%_min,0.09691042859952952,0.08738417634958047,12.0,16.0,-0.009526252249949047
Sodium_full_min,0.05508753408108091,0.04530818875870128,28.0,44.0,-0.009779345322379632
Diastolic blood pressure_last10%_min,0.11097620711232943,0.10107352774075903,9.0,12.0,-0.009902679371570397
Prothrombin time_full_mean,0.04789518801755651,0.03701855054041207,34.0,52.0,-0.010876637477144444
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.07201315528726644,0.06084060738555405,21.0,33.0,-0.01117254790171239
Diastolic blood pressure_full_min,0.05206212526828189,0.038231104706159376,32.0,51.0,-0.013831020562122515
Hematocrit_full_max,0.07592587351538337,0.06139633127007941,19.0,31.0,-0.014529542245303957
Temperature_last25%_min,0.08481537641320268,0.06831892686313164,16.0,30.0,-0.01649644955007104
Glascow coma scale motor response_last10%_min,0.259252767013939,0.24274320714376618,2.0,2.0,-0.01650955987017283
Glucose_full_min,0.09114973929608859,0.07291014838183277,14.0,28.0,-0.018239590914255824
Bilirubin_full_min,0.12342063986496024,0.08847855150997468,5.0,15.0,-0.034942088354985565
Glascow coma scale motor response_last10%_std,0.12683548668783365,0.08597103543506951,4.0,17.0,-0.04086445125276414
