epoch;loss;seq_loss;single_loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1;val_seq_loss;val_single_loss
43;0.2713465988636017;0.27699288725852966;0.26561129093170166;0.8992606;0.6556713894602602;0.9098147802789077;0.6076578816509199;0.9084934;0.76839936;0.98233145;0.37204087;0.9032663;0.6287102555346085;0.8993345905172412;0.24202926456928253;0.5745721271393643;0.91074985;0.7705882;0.98599136;0.3275;0.24539002776145935;0.23866848647594452
27;0.2745407819747925;0.2807759940624237;0.2683779299259186;0.8981073;0.6331312263952718;0.9037215879441327;0.5917808219178082;0.91422355;0.71331924;0.9733794;0.42038375;0.90483665;0.6277428709619832;0.8990930316091953;0.24228553473949432;0.5689655172413793;0.9180991;0.7235023;0.9784483;0.3925;0.24615056812763214;0.23842072486877441
44;0.2710796594619751;0.27653512358665466;0.2655297815799713;0.89943016;0.6580410059421169;0.910244065536858;0.6075255419885373;0.91053706;0.7526519;0.97985786;0.38898578;0.9045226;0.6388338788558708;0.8997575431034484;0.23995377123355865;0.5935162094763092;0.91333336;0.76086956;0.9841954;0.35;0.2444373071193695;0.23547041416168213
28;0.2748784124851227;0.28045719861984253;0.2692084312438965;0.89749676;0.6356944869262413;0.9054098757936544;0.5995514577622726;0.91352564;0.7116617;0.9734972;0.41515076;0.90829146;0.6270397954444313;0.8991585847701148;0.24022501707077026;0.575;0.92009443;0.7477064;0.9802443;0.4075;0.24272269010543823;0.2377273291349411
45;0.2709958851337433;0.2765430808067322;0.2658325731754303;0.8995658;0.6552279291270048;0.9097541827256868;0.6081215744892875;0.9104304;0.75509214;0.980172;0.38798904;0.9038945;0.6343532544935949;0.8993480603448275;0.2402939796447754;0.5810473815461347;0.91272485;0.7582418;0.9841954;0.345;0.2445225566625595;0.23606549203395844
29;0.27496692538261414;0.28030237555503845;0.2697753310203552;0.8977003;0.6425784841491492;0.9058955954888339;0.5998006478943434;0.90854836;0.7488767;0.9802505;0.3737852;0.9026382;0.6280707421424938;0.8958836206896552;0.24560558795928955;0.5760598503740648;0.9109635;0.7586207;0.98491377;0.33;0.2496262788772583;0.24158497154712677
46;0.269796222448349;0.2753867208957672;0.2641148567199707;0.8970558;0.655982934075115;0.9103444157111712;0.6078724464374688;0.9053263;0.7704646;0.9837057;0.34712186;0.9038945;0.6315703696206922;0.8985596264367816;0.24424126744270325;0.58;0.909181;0.80128205;0.98886496;0.3125;0.24796909093856812;0.2405136078596115
30;0.2731481194496155;0.2788725197315216;0.2673148810863495;0.8998711;0.6430949602986177;0.9067658188158892;0.6045816733067729;0.92212516;0.68872285;0.96564454;0.4824321;0.9026382;0.6301473579739932;0.8998132183908047;0.23981264233589172;0.5632754342431762;0.9239205;0.66917294;0.9683908;0.445;0.24316392838954926;0.2364613115787506
47;0.27096936106681824;0.2767321467399597;0.26516345143318176;0.89800555;0.6550788691009017;0.9094980997258929;0.6071250622820129;0.9084594;0.7532729;0.98076093;0.37278843;0.9026382;0.6296094665637013;0.8960425646551725;0.24286070466041565;0.5785536159600998;0.91041803;0.7647059;0.9856322;0.325;0.24625630676746368;0.2394651472568512
31;0.2735303044319153;0.280094712972641;0.26702889800071716;0.8989892;0.6422824016815365;0.9046403206227449;0.6002990281584849;0.91531557;0.7151767;0.97310454;0.42860702;0.9035804;0.6273171358334427;0.8961736709770116;0.2454967051744461;0.57;0.91770655;0.7123288;0.9773707;0.39;0.24864770472049713;0.24234585464000702
48;0.2692919075489044;0.2744264006614685;0.26410558819770813;0.90031207;0.6563341771378488;0.9100301371439989;0.6083707025411061;0.91635865;0.72135204;0.97345793;0.43608272;0.90483665;0.6283974828905371;0.9000197557471266;0.23809759318828583;0.5675;0.9169748;0.7320574;0.97988504;0.3825;0.24115541577339172;0.23503996431827545
32;0.2721635699272156;0.2776451110839844;0.26658838987350464;0.89549553;0.6400736067963733;0.9071484536929955;0.5998006478943434;0.9282981;0.6392708;0.95260906;0.5330177;0.9026382;0.6343599965086614;0.9022279094827587;0.23940733075141907;0.5746268656716418;0.931612;0.6415094;0.9590517;0.51;0.24213090538978577;0.23668347299098969
